amplitude_m,speed_m_s,regen_limit_w,reference_0_5m_wh,finer_0_25m_wh,absolute_difference_wh
0.000000000,8.000000000,0.000000000,103.659394582,103.659394582,0.000000000
0.000000000,8.000000000,5000.000000000,103.659394582,103.659394582,0.000000000
0.000000000,8.000000000,20000.000000000,103.659394582,103.659394582,0.000000000
0.000000000,15.000000000,0.000000000,121.566331377,121.566331377,0.000000000
0.000000000,15.000000000,5000.000000000,121.566331377,121.566331377,0.000000000
0.000000000,15.000000000,20000.000000000,121.566331377,121.566331377,0.000000000
0.000000000,25.000000000,0.000000000,177.881850123,177.881850123,0.000000000
0.000000000,25.000000000,5000.000000000,177.881850123,177.881850123,0.000000000
0.000000000,25.000000000,20000.000000000,177.881850123,177.881850123,0.000000000
0.250000000,8.000000000,0.000000000,133.118876479,133.123531874,0.004655396
0.250000000,8.000000000,5000.000000000,115.890195165,115.892129079,0.001933914
0.250000000,8.000000000,20000.000000000,115.890195165,115.892129079,0.001933914
0.250000000,15.000000000,0.000000000,143.003053930,143.013585558,0.010531628
0.250000000,15.000000000,5000.000000000,130.471862580,130.476236701,0.004374121
0.250000000,15.000000000,20000.000000000,130.471862580,130.476236701,0.004374121
0.250000000,25.000000000,0.000000000,184.239770246,184.245281824,0.005511579
0.250000000,25.000000000,5000.000000000,180.542810623,180.545106364,0.002295741
0.250000000,25.000000000,20000.000000000,180.542810623,180.545106364,0.002295741
0.750000000,8.000000000,0.000000000,266.255602787,266.299935899,0.044333112
0.750000000,8.000000000,5000.000000000,191.457350622,191.492744748,0.035394126
0.750000000,8.000000000,20000.000000000,171.182744877,171.201160354,0.018415477
0.750000000,15.000000000,0.000000000,273.565006787,273.590134886,0.025128099
0.750000000,15.000000000,5000.000000000,229.791205119,229.830281582,0.039076464
0.750000000,15.000000000,20000.000000000,184.729192206,184.739651672,0.010459466
0.750000000,25.000000000,0.000000000,304.789253699,304.833629684,0.044375985
0.750000000,25.000000000,5000.000000000,279.262892135,279.304382723,0.041490588
0.750000000,25.000000000,20000.000000000,233.661244617,233.684261728,0.023017111
