x_m,reference_z_m,sampled_5m_z_m,sampled_10m_z_m,sampled_30m_z_m
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.500000000,0.072336681,0.066209845,0.049753776,-0.007428440
1.000000000,0.144291283,0.132419691,0.099507552,-0.014856879
1.500000000,0.215483997,0.198629536,0.149261328,-0.022285319
2.000000000,0.285539542,0.264839382,0.199015103,-0.029713758
2.500000000,0.354089393,0.331049227,0.248768879,-0.037142198
3.000000000,0.420773970,0.397259073,0.298522655,-0.044570637
3.500000000,0.485244770,0.463468918,0.348276431,-0.051999077
4.000000000,0.547166434,0.529678764,0.398030207,-0.059427516
4.500000000,0.606218731,0.595888609,0.447783983,-0.066855956
5.000000000,0.662098455,0.662098455,0.497537758,-0.074284395
5.500000000,0.714521209,0.695396161,0.547291534,-0.081712835
6.000000000,0.763223085,0.728693867,0.597045310,-0.089141274
6.500000000,0.807962213,0.761991573,0.646799086,-0.096569714
7.000000000,0.848520175,0.795289279,0.696552862,-0.103998153
7.500000000,0.884703278,0.828586986,0.746306638,-0.111426593
8.000000000,0.916343680,0.861884692,0.796060413,-0.118855032
8.500000000,0.943300349,0.895182398,0.845814189,-0.126283472
9.000000000,0.965459871,0.928480104,0.895567965,-0.133711911
9.500000000,0.982737079,0.961777810,0.945321741,-0.141140351
10.000000000,0.995075517,0.995075517,0.995075517,-0.148568790
10.500000000,1.002447727,0.981066207,0.963374841,-0.155997230
11.000000000,1.004855359,0.967056898,0.931674165,-0.163425669
11.500000000,1.002329108,0.953047588,0.899973489,-0.170854109
12.000000000,0.994928468,0.939038279,0.868272813,-0.178282549
12.500000000,0.982741318,0.925028969,0.836572137,-0.185710988
13.000000000,0.965883333,0.911019660,0.804871461,-0.193139428
13.500000000,0.944497225,0.897010350,0.773170785,-0.200567867
14.000000000,0.918751823,0.883001040,0.741470109,-0.207996307
14.500000000,0.888840996,0.868991731,0.709769433,-0.215424746
15.000000000,0.854982421,0.854982421,0.678068757,-0.222853186
15.500000000,0.817416210,0.805590379,0.646368081,-0.230281625
16.000000000,0.776403401,0.756198337,0.614667405,-0.237710065
16.500000000,0.732224327,0.706806294,0.582966729,-0.245138504
17.000000000,0.685176862,0.657414252,0.551266053,-0.252566944
17.500000000,0.635574572,0.608022209,0.519565377,-0.259995383
18.000000000,0.583744762,0.558630167,0.487864701,-0.267423823
18.500000000,0.530026452,0.509238125,0.456164025,-0.274852262
19.000000000,0.474768278,0.459846082,0.424463349,-0.282280702
19.500000000,0.418326338,0.410454040,0.392762673,-0.289709141
20.000000000,0.361061998,0.361061998,0.361061998,-0.297137581
20.500000000,0.303339666,0.307155956,0.320723579,-0.304566020
21.000000000,0.245524555,0.253249915,0.280385161,-0.311994460
21.500000000,0.187980439,0.199343873,0.240046742,-0.319422899
22.000000000,0.131067428,0.145437832,0.199708324,-0.326851339
22.500000000,0.075139761,0.091531790,0.159369905,-0.334279778
23.000000000,0.020543647,0.037625749,0.119031487,-0.341708218
23.500000000,-0.032384846,-0.016280293,0.078693068,-0.349136657
24.000000000,-0.083321838,-0.070186334,0.038354650,-0.356565097
24.500000000,-0.131957597,-0.124092376,-0.001983768,-0.363993537
